X,Y,OBJECTID,FileNumber,OccuranceYear,ReportedDate,ReportedTime,ReportedWeekday,Offense,OffenseCategory,HouseNumber,StreetName,City,ReportedDateText,ReportedTimeText,Lat,Lon
528380,5453660,1134736,2018-19177,2018,2018-08-16T00:00:00.000Z,2018-08-16T10:25:00.000Z,Thursday,THEFT BICYCLE OVER $5000,BIKE THEFT,220XX,128TH AVE,MAPLE RIDGE,"Aug 16, 2018",10:25 am,49.231885,-122.6024736
533660,5449400,1134737,2018-19180,2018,2018-08-16T00:00:00.000Z,2018-08-16T11:21:00.000Z,Thursday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,247XX,KIMOLA DR,MAPLE RIDGE,"Aug 16, 2018",11:21 am,49.1978343,-122.5417355
524400,5451860,1134738,2018-19185,2018,2018-08-11T00:00:00.000Z,2018-08-11T03:33:00.000Z,Saturday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,119XX,WEST ST,MAPLE RIDGE,"Aug 11, 2018",3:33 am,49.2171819,-122.6648365
532200,5452050,1134739,2018-19191,2018,2018-08-16T00:00:00.000Z,2018-08-16T14:13:00.000Z,Thursday,THEFT-OTHER OVER $5000,OTHER THEFT O/5000,239XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 16, 2018",2:13 pm,49.2199546,-122.4428793
530020,5452040,1134742,2018-19211,2018,2018-08-16T00:00:00.000Z,2018-08-16T17:16:00.000Z,Thursday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,228XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 16, 2018",5:16 pm,49.2199546,-122.4428793
530800,5455600,1134744,2018-19220,2018,2018-08-16T00:00:00.000Z,2018-08-16T19:20:00.000Z,Thursday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,137XX,BLANEY RD,MAPLE RIDGE,"Aug 16, 2018",7:20 pm,49.2522297,-122.5768788
524600,5450080,1134745,2018-19244,2018,2018-08-17T00:00:00.000Z,2018-08-17T02:34:00.000Z,Friday,BREAK & ENTER-RESIDENCE,BREAK & ENTER - RES,201XX,DITTON ST,MAPLE RIDGE,"Aug 17, 2018",2:34 am,49.2043599,-122.6593393
523760,5451700,1134746,2018-19245,2018,2018-08-17T00:00:00.000Z,2018-08-17T02:35:00.000Z,Friday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,118XX,CHERRY LANE,PITT MEADOWS,"Aug 17, 2018",2:35 am,49.2173996,-122.6736962
529050,5451540,1134748,2018-19255,2018,2018-08-17T00:00:00.000Z,2018-08-17T06:53:00.000Z,Thursday,THEFT OF TRUCK UNDER $5000,AUTO THEFT,224XX,NORTH AVE,MAPLE RIDGE,"Aug 17, 2018",6:53 am,49.2160106,-122.6069412
519450,5451450,1134749,2018-19256,2018,2018-08-17T00:00:00.000Z,2018-08-17T10:59:00.000Z,Wednesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,176XX,FRASER DYKE RD,PITT MEADOWS,"Aug 17, 2018",10:59 am,49.214982,-122.7305741
527820,5453660,1134751,2018-19311,2018,2018-08-17T00:00:00.000Z,2018-08-17T17:56:00.000Z,Friday,THEFT-OTHER OVER $5000,OTHER THEFT O/5000,217XX,128TH AVE,MAPLE RIDGE,"Aug 17, 2018",5:56 pm,49.231885,-122.6024736
527500,5451650,1134753,2018-19364,2018,2018-08-18T00:00:00.000Z,2018-08-18T10:46:00.000Z,Saturday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,216XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 18, 2018",10:46 am,49.1992265,-122.5775593
527220,5451560,1134754,2018-19368,2018,2018-08-18T00:00:00.000Z,2018-08-18T12:10:00.000Z,Friday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,117XX,DARBY ST,MAPLE RIDGE,"Aug 18, 2018",12:10 pm,49.2156291,-122.6263049
523950,5451580,1134755,2018-19393,2018,2018-08-18T00:00:00.000Z,2018-08-18T15:30:00.000Z,Thursday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,198XX,FAIRFIELD AVE,PITT MEADOWS,"Aug 18, 2018",3:30 pm,49.2165351,-122.6715233
528330,5452040,1134757,2018-19406,2018,2018-08-18T00:00:00.000Z,2018-08-18T18:47:00.000Z,Saturday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,220XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 18, 2018",6:47 pm,49.2199546,-122.4428793
529140,5452950,1134758,2018-19407,2018,2018-08-18T00:00:00.000Z,2018-08-18T18:52:00.000Z,Friday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,224XX,STRENG AVE,MAPLE RIDGE,"Aug 18, 2018",6:52 pm,49.2286403,-122.5999979
523310,5449910,1134761,2018-19459,2018,2018-08-19T00:00:00.000Z,2018-08-19T10:22:00.000Z,Saturday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,195XX,BISHOPS RCH,PITT MEADOWS,"Aug 19, 2018",10:22 am,49.201544,-122.6804125
529630,5453080,1134762,2018-19461,2018,2018-08-19T00:00:00.000Z,2018-08-19T10:40:00.000Z,Tuesday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,227XX,125A AVE,MAPLE RIDGE,"Aug 19, 2018",10:40 am,49.2298238,-122.592872
522820,5451650,1134764,2018-19484,2018,2018-08-19T00:00:00.000Z,2018-08-19T15:53:00.000Z,Monday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,193XX,HAMMOND RD,PITT MEADOWS,"Aug 19, 2018",3:53 pm,49.2170084,-122.6690028
528690,5451640,1134765,2018-19485,2018,2018-08-19T00:00:00.000Z,2018-08-19T15:57:00.000Z,Saturday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,222XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 19, 2018",3:57 pm,49.1992265,-122.5775593
531040,5453970,1134766,2018-19487,2018,2018-08-19T00:00:00.000Z,2018-08-19T16:04:00.000Z,Sunday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,234XX,DOGWOOD AVE,MAPLE RIDGE,"Aug 19, 2018",4:04 pm,49.2377286,-122.5742231
528330,5452040,1134767,2018-19495,2018,2018-08-19T00:00:00.000Z,2018-08-19T17:56:00.000Z,Sunday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,220XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 19, 2018",5:56 pm,49.2199546,-122.4428793
524640,5451620,1134769,2018-19527,2018,2018-08-20T00:00:00.000Z,2018-08-20T08:29:00.000Z,Monday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,201XX,ASHLEY CRES,MAPLE RIDGE,"Aug 20, 2018",8:29 am,49.2169384,-122.6598002
